
========================================================================
=== ParallelSeedSweep final report (top-10% freerun means) ===
========================================================================
DIM=10  M=2  num_seeds=800  threads=16  epochs=300  freerun_runs=1000
base_esn_seed=1002999015000000000  base_orbit_seed=9333312947715283458
ok=800 / 800

--- All seeds (sorted by mean VPT*duty) ---
note: VxD_mn is mean of top-10% (VPT*duty) products, not VPT_mn*duty_mn (top-10% pools are independent per metric).
rank    idx             esn_seed     VxD_mn     VPT_mn    duty_mn    RMSE_mn  r_VxD  r_VPT r_duty
1        92  4112530987988204306      1.274       3.52      0.470   0.420848      1      3      2
2       591  8982357012682103037      1.270       3.66      0.446   0.418292      2      1     64
3       390 15208094364242385359      1.268       3.64      0.436   0.422712      3      2    140
4       102  1814698889505195029      1.256       3.42      0.444   0.417073      4     15     77
5        62  7177932529503219229      1.237       3.45      0.463   0.423582      5      8      7
6       656  7934791766227647176      1.236       3.52      0.452   0.423344      6      4     30
7       531 17180349175808754359      1.224       3.42      0.464   0.421384      7     12      4
8       792 17290233802289316557      1.208       3.32      0.463   0.423187      8     45      6
9       193  1934213336504735520      1.205       3.49      0.449   0.423231      9      5     41
10      486  4039873638047662966      1.203       3.31      0.460   0.422664     10     51     14
11      139  4339718421267049102      1.192       3.42      0.449   0.420738     11     13     40
12      503 10253254895481126005      1.186       3.44      0.420   0.420356     12      9    286
13      577  7861893771847890690      1.184       3.34      0.447   0.416622     13     37     50
14      153  3087023548853614822      1.183       3.35      0.435   0.413045     14     32    150
15      710 10654561239794450141      1.182       3.42      0.429   0.421061     15     14    198
16      190 14654206641214420433      1.178       3.39      0.440   0.419349     16     20    106
17      117 10907692223483096950      1.176       3.48      0.423   0.400759     17      7    259
18      615  9535208030815745074      1.175       3.27      0.452   0.421101     18     66     31
19      559 13660429474672275760      1.172       3.29      0.441   0.423962     19     60     93
20        9 13265426551472630865      1.170       3.19      0.449   0.425416     20    136     43
21       64  8370544324519749614      1.168       3.31      0.440   0.422117     21     48    104
22      776 14831794971818819797      1.168       3.36      0.435   0.417125     22     28    146
23      647  3835149948587744457      1.165       3.43      0.399   0.425900     23     10    515
24      762  3520645435959983227      1.164       3.17      0.453   0.413551     24    155     26
25      754  3044325672790866220      1.163       3.21      0.441   0.421219     25    114     97
26      793 15055672409778594410      1.163       3.38      0.441   0.409897     26     22    101
27      470   900085639507806285      1.163       3.38      0.433   0.411536     27     23    165
28       74 16524137892421967850      1.161       3.33      0.428   0.418023     28     41    211
29       89 15277244316785691522      1.161       3.49      0.458   0.414981     29      6     18
30      201 17606392660029804566      1.157       3.38      0.429   0.422034     30     25    209
31      668 14604825411508779318      1.155       3.21      0.476   0.419611     31    119      1
