step,lt,err,locked,pred_x,pred_y,pred_z,true_x,true_y,true_z,drive_x,drive_y,drive_z,drive_xz
1,0.018112,0.00810697,1,-0.352403,-0.277307,0.2283,-0.365192,-0.276308,0.23401,-0.352403,-0.277307,0.20547,-0.0563175
2,0.036224,0.0106212,1,-0.331962,-0.253682,0.20982,-0.347243,-0.252499,0.219995,-0.331962,-0.253682,0.188838,-0.0487565
3,0.054336,0.0127475,1,-0.312472,-0.23475,0.185604,-0.328627,-0.233011,0.200554,-0.312472,-0.23475,0.167044,-0.0405972
4,0.072448,0.014317,1,-0.294292,-0.222585,0.15864,-0.31029,-0.218223,0.177078,-0.294292,-0.222585,0.142776,-0.0326806
5,0.09056,0.0159139,1,-0.277799,-0.216791,0.129614,-0.29304,-0.208139,0.150889,-0.277799,-0.216791,0.116652,-0.0252046
6,0.108672,0.0163539,1,-0.263938,-0.216096,0.10233,-0.277511,-0.202513,0.123154,-0.263938,-0.216096,0.0920969,-0.0189061
7,0.126784,0.016597,1,-0.252526,-0.21879,0.0755458,-0.264165,-0.200964,0.0948639,-0.252526,-0.21879,0.0679912,-0.0133541
8,0.144896,0.0170963,1,-0.244264,-0.225069,0.0492003,-0.253306,-0.203071,0.0668399,-0.244264,-0.225069,0.0442802,-0.0084125
9,0.163008,0.017444,1,-0.238688,-0.234112,0.0251993,-0.245108,-0.208431,0.039764,-0.238688,-0.234112,0.0226794,-0.00421035
10,0.18112,0.0172843,1,-0.235854,-0.244541,0.00388935,-0.239644,-0.216697,0.0142148,-0.235854,-0.244541,0.00350042,-0.000642125
11,0.199232,0.0172074,1,-0.235012,-0.256815,-0.0148127,-0.236919,-0.227588,-0.00929614,-0.235012,-0.256815,-0.0133315,0.00243682
12,0.217344,0.0173411,1,-0.237096,-0.270911,-0.030793,-0.23689,-0.24088,-0.0302939,-0.237096,-0.270911,-0.0277137,0.00511062
13,0.235456,0.0179522,1,-0.24136,-0.287129,-0.044026,-0.239486,-0.25639,-0.0483152,-0.24136,-0.287129,-0.0396234,0.0074383
14,0.253568,0.0193762,1,-0.248861,-0.305846,-0.0533663,-0.244617,-0.273947,-0.0628907,-0.248861,-0.305846,-0.0480296,0.00929655
15,0.27168,0.0213001,1,-0.258425,-0.326443,-0.0584509,-0.252178,-0.293359,-0.0735348,-0.258425,-0.326443,-0.0526059,0.0105736
16,0.289792,0.023675,1,-0.27056,-0.348507,-0.0586795,-0.262041,-0.314372,-0.0797459,-0.27056,-0.348507,-0.0528115,0.0111134
17,0.307904,0.0260746,1,-0.284474,-0.371614,-0.0544275,-0.274048,-0.336629,-0.0810173,-0.284474,-0.371614,-0.0489848,0.0108382
18,0.326016,0.0286693,1,-0.300384,-0.394982,-0.0442812,-0.287991,-0.35962,-0.076866,-0.300384,-0.394982,-0.0398531,0.00931094
19,0.344128,0.031735,1,-0.317311,-0.418169,-0.0272387,-0.30359,-0.382649,-0.0668796,-0.317311,-0.418169,-0.0245148,0.00605018
20,0.36224,0.0347684,1,-0.335406,-0.439505,-0.00389919,-0.320469,-0.404795,-0.0507885,-0.335406,-0.439505,-0.00350927,0.00091547
21,0.380352,0.0373296,1,-0.353796,-0.45758,0.0249959,-0.338131,-0.424917,-0.0285596,-0.353796,-0.45758,0.0224963,-0.00619041
22,0.398464,0.0391973,1,-0.371508,-0.469857,0.0592704,-0.355946,-0.441683,-0.000507203,-0.371508,-0.469857,0.0533433,-0.0154136
23,0.416576,0.0404901,1,-0.387074,-0.474886,0.0979746,-0.373145,-0.453668,0.0325977,-0.387074,-0.474886,0.0881771,-0.0265464
24,0.434688,0.0409483,1,-0.399848,-0.471296,0.138516,-0.388842,-0.459509,0.0694488,-0.399848,-0.471296,0.124664,-0.0387697
25,0.4528,0.0406236,1,-0.408875,-0.45934,0.178218,-0.402089,-0.458117,0.108195,-0.408875,-0.45934,0.160396,-0.0510083
26,0.470912,0.0394129,1,-0.413713,-0.438753,0.214018,-0.411954,-0.448911,0.146536,-0.413713,-0.438753,0.192616,-0.0619794
27,0.489024,0.0368782,1,-0.412837,-0.411368,0.242191,-0.417634,-0.432019,0.181937,-0.412837,-0.411368,0.217972,-0.0699899
28,0.507136,0.0337346,1,-0.406638,-0.379266,0.261191,-0.418569,-0.408363,0.211946,-0.406638,-0.379266,0.235072,-0.074347
29,0.525248,0.0306632,1,-0.395363,-0.34504,0.270006,-0.414539,-0.379601,0.234531,-0.395363,-0.34504,0.243005,-0.0747252
30,0.54336,0.0283465,1,-0.380233,-0.311462,0.269205,-0.405716,-0.347891,0.248369,-0.380233,-0.311462,0.242285,-0.0716525
31,0.561472,0.027047,1,-0.361821,-0.280709,0.258359,-0.392651,-0.315569,0.252988,-0.361821,-0.280709,0.232523,-0.0654358
32,0.579584,0.0272067,1,-0.341476,-0.254054,0.240458,-0.376212,-0.284802,0.248739,-0.341476,-0.254054,0.216412,-0.0574774
33,0.597696,0.0277085,1,-0.320778,-0.233309,0.217095,-0.357461,-0.257318,0.23662,-0.320778,-0.233309,0.195386,-0.0487476
34,0.615808,0.0281461,1,-0.300733,-0.218636,0.190137,-0.33753,-0.23428,0.218028,-0.300733,-0.218636,0.171124,-0.0400265
35,0.63392,0.0281625,1,-0.282151,-0.209981,0.161494,-0.317502,-0.216274,0.194511,-0.282151,-0.209981,0.145345,-0.0318961
36,0.652032,0.0276178,1,-0.266287,-0.205536,0.132113,-0.298324,-0.203413,0.167572,-0.266287,-0.205536,0.118902,-0.024626
37,0.670144,0.0272627,1,-0.252692,-0.204919,0.101772,-0.280757,-0.195475,0.138555,-0.252692,-0.204919,0.0915952,-0.0180019
38,0.688256,0.0271595,1,-0.241619,-0.207741,0.0711391,-0.265364,-0.192045,0.108592,-0.241619,-0.207741,0.0640252,-0.012032
39,0.706368,0.0272092,1,-0.233067,-0.213797,0.041264,-0.252525,-0.192638,0.0786103,-0.233067,-0.213797,0.0371376,-0.0067321
40,0.72448,0.0271557,1,-0.227667,-0.223036,0.0132495,-0.242459,-0.196782,0.0493634,-0.227667,-0.223036,0.0119246,-0.00211154
41,0.742592,0.0272671,1,-0.225154,-0.235666,-0.0121362,-0.235269,-0.204065,0.0214715,-0.225154,-0.235666,-0.0109226,0.00191276
42,0.760704,0.0273914,1,-0.225342,-0.250431,-0.0345879,-0.23097,-0.214155,-0.00453359,-0.225342,-0.250431,-0.0311291,0.00545587
43,0.778816,0.0276833,1,-0.228169,-0.267568,-0.0533784,-0.229521,-0.226803,-0.0281707,-0.228169,-0.267568,-0.0480406,0.00852552
44,0.796928,0.0282083,1,-0.234204,-0.286767,-0.0678373,-0.230853,-0.24182,-0.0489779,-0.234204,-0.286767,-0.0610536,0.0111215
45,0.81504,0.0296399,1,-0.243087,-0.308445,-0.0778449,-0.234875,-0.259057,-0.0664884,-0.243087,-0.308445,-0.0700604,0.0132461
46,0.833152,0.0321704,1,-0.254752,-0.332392,-0.0833821,-0.241489,-0.278366,-0.0802142,-0.254752,-0.332392,-0.0750439,0.0148693
47,0.851264,0.0354307,1,-0.268654,-0.35794,-0.08403,-0.250584,-0.299562,-0.089638,-0.268654,-0.35794,-0.075627,0.0158025
48,0.869376,0.0392803,1,-0.285024,-0.384616,-0.0791665,-0.26203,-0.322377,-0.0942161,-0.285024,-0.384616,-0.0712498,0.015795
49,0.887488,0.0435426,1,-0.303166,-0.411846,-0.0679114,-0.275657,-0.346411,-0.0933957,-0.303166,-0.411846,-0.0611203,0.0144119
50,0.9056,0.0481736,1,-0.322487,-0.438194,-0.0481661,-0.291241,-0.371076,-0.0866509,-0.322487,-0.438194,-0.0433495,0.0108731
51,0.923712,0.0530847,1,-0.342905,-0.462692,-0.0209977,-0.308468,-0.395558,-0.073544,-0.342905,-0.462692,-0.0188979,0.00504015
52,0.941824,0.0575143,1,-0.363966,-0.482761,0.0129445,-0.32691,-0.418779,-0.0538152,-0.363966,-0.482761,0.0116501,-0.00329796
53,0.959936,0.0613266,1,-0.384203,-0.49705,0.0531261,-0.345997,-0.439406,-0.0274985,-0.384203,-0.49705,0.0478135,-0.0142878
54,0.978048,0.0640985,1,-0.402346,-0.502546,0.0985177,-0.365001,-0.455906,0.00494486,-0.402346,-0.502546,0.0886659,-0.0277468
55,0.99616,0.0653263,1,-0.41685,-0.497594,0.145959,-0.383038,-0.466674,0.0425017,-0.41685,-0.497594,0.131363,-0.0425899
56,1.01427,0.065278,1,-0.426933,-0.481767,0.192509,-0.399103,-0.470239,0.0835306,-0.426933,-0.481767,0.173258,-0.0575319
57,1.03238,0.0636744,1,-0.432009,-0.456931,0.233923,-0.412138,-0.465529,0.125782,-0.432009,-0.456931,0.210531,-0.0707399
58,1.0505,0.0593464,1,-0.430682,-0.424389,0.265068,-0.421144,-0.452141,0.166555,-0.430682,-0.424389,0.238562,-0.0799122
59,1.06861,0.0538131,1,-0.422886,-0.386962,0.285351,-0.425308,-0.430546,0.202997,-0.422886,-0.386962,0.256816,-0.0844697
60,1.08672,0.0484912,1,-0.409528,-0.347178,0.294314,-0.424137,-0.40213,0.232499,-0.409528,-0.347178,0.264882,-0.0843708
61,1.10483,0.0440252,1,-0.391443,-0.308667,0.291658,-0.417553,-0.369041,0.253085,-0.391443,-0.308667,0.262492,-0.0799172
62,1.12294,0.0412629,1,-0.369883,-0.273846,0.27809,-0.405928,-0.333857,0.263692,-0.369883,-0.273846,0.250281,-0.0720025
63,1.14106,0.0405564,1,-0.346363,-0.244706,0.256491,-0.390042,-0.299171,0.264245,-0.346363,-0.244706,0.230842,-0.0621873
64,1.15917,0.0407642,1,-0.322757,-0.222566,0.229721,-0.370975,-0.267215,0.255539,-0.322757,-0.222566,0.206749,-0.0519007
65,1.17728,0.0411647,1,-0.300099,-0.207564,0.199345,-0.349959,-0.239615,0.238971,-0.300099,-0.207564,0.179411,-0.0418763
66,1.19539,0.0413261,1,-0.279468,-0.198584,0.167305,-0.328237,-0.217313,0.216236,-0.279468,-0.198584,0.150575,-0.0327295
67,1.2135,0.0408339,1,-0.26192,-0.194453,0.134862,-0.306936,-0.20064,0.18906,-0.26192,-0.194453,0.121376,-0.0247261
68,1.23162,0.0404608,1,-0.247239,-0.194288,0.101507,-0.286993,-0.18946,0.159018,-0.247239,-0.194288,0.0913564,-0.0175676
69,1.24973,0.040476,1,-0.235065,-0.197986,0.0679444,-0.269121,-0.183352,0.127451,-0.235065,-0.197986,0.06115,-0.01118
70,1.26784,0.0403802,1,-0.225976,-0.204751,0.0355404,-0.253814,-0.181766,0.0954442,-0.225976,-0.204751,0.0319864,-0.00562191
71,1.28595,0.0398825,1,-0.220117,-0.214838,0.00574591,-0.241372,-0.184138,0.0638624,-0.220117,-0.214838,0.00517132,-0.000885343
72,1.30406,0.0394353,1,-0.217409,-0.227514,-0.0217771,-0.231946,-0.189961,0.0333943,-0.217409,-0.227514,-0.0195994,0.00331418
73,1.32218,0.0390004,1,-0.217193,-0.242411,-0.0463189,-0.225575,-0.198828,0.00460649,-0.217193,-0.242411,-0.041687,0.00704209
74,1.34029,0.0383638,1,-0.219943,-0.25951,-0.0667462,-0.222226,-0.210432,-0.0220085,-0.219943,-0.25951,-0.0600716,0.0102762
75,1.3584,0.0381946,1,-0.225832,-0.279099,-0.083216,-0.221827,-0.224557,-0.045993,-0.225832,-0.279099,-0.0748944,0.013155
76,1.37651,0.0388059,1,-0.234805,-0.301238,-0.0949109,-0.224284,-0.241055,-0.0668925,-0.234805,-0.301238,-0.0854198,0.0155999
77,1.39462,0.0407548,1,-0.246476,-0.325943,-0.102167,-0.2295,-0.259815,-0.0842319,-0.246476,-0.325943,-0.0919507,0.0176273
78,1.41274,0.0439269,1,-0.260938,-0.352746,-0.104218,-0.237374,-0.280717,-0.0974997,-0.260938,-0.352746,-0.0937966,0.0190362
79,1.43085,0.0481135,1,-0.277815,-0.381146,-0.100767,-0.247797,-0.303592,-0.106141,-0.277815,-0.381146,-0.0906903,0.0195962
80,1.44896,0.0525469,1,-0.296613,-0.409644,-0.090821,-0.260642,-0.328167,-0.10956,-0.296613,-0.409644,-0.0817389,0.0188571
81,1.46707,0.057557,1,-0.316668,-0.43811,-0.0726372,-0.27574,-0.354012,-0.107146,-0.316668,-0.43811,-0.0653735,0.0161013
82,1.48518,0.0632312,1,-0.338103,-0.465363,-0.0459568,-0.292855,-0.380474,-0.0983116,-0.338103,-0.465363,-0.0413611,0.0108767
83,1.5033,0.0690323,1,-0.360566,-0.489175,-0.0112269,-0.311653,-0.406627,-0.0825687,-0.360566,-0.489175,-0.0101042,0.00283364
84,1.52141,0.0741839,1,-0.383118,-0.507316,0.0302218,-0.33166,-0.431242,-0.059637,-0.383118,-0.507316,0.0271996,-0.00810495
