step,lt,err,locked,pred_x,pred_y,pred_z,true_x,true_y,true_z,drive_x,drive_y,drive_z,drive_xz
1,0.018112,0.00449807,1,-0.327845,-0.412795,0.0198915,-0.334026,-0.417535,0.0197385,-0.327845,-0.412795,0.0179023,-0.00456493
2,0.036224,0.00796089,1,-0.338213,-0.420398,0.0342786,-0.346851,-0.429208,0.0281225,-0.338213,-0.420398,0.0308507,-0.00811542
3,0.054336,0.0122693,1,-0.350199,-0.427496,0.055028,-0.359369,-0.439722,0.040262,-0.350199,-0.427496,0.0495252,-0.0134895
4,0.072448,0.0170316,1,-0.361888,-0.430993,0.0776667,-0.371357,-0.448335,0.0557624,-0.361888,-0.430993,0.0699001,-0.0196746
5,0.09056,0.0218028,1,-0.371361,-0.432534,0.102783,-0.3825,-0.454339,0.0740338,-0.371361,-0.432534,0.0925049,-0.0267188
6,0.108672,0.0259389,1,-0.379224,-0.429749,0.127373,-0.392417,-0.457121,0.0942794,-0.379224,-0.429749,0.114636,-0.033812
7,0.126784,0.0310381,1,-0.384145,-0.420737,0.152338,-0.400702,-0.45623,0.115511,-0.384145,-0.420737,0.137104,-0.0409639
8,0.144896,0.0349937,1,-0.385641,-0.407009,0.171872,-0.40696,-0.451448,0.136596,-0.385641,-0.407009,0.154685,-0.0463966
9,0.163008,0.0372935,1,-0.384405,-0.390996,0.184351,-0.410856,-0.442844,0.156342,-0.384405,-0.390996,0.165916,-0.0496058
10,0.18112,0.0385192,1,-0.380067,-0.374219,0.188457,-0.412156,-0.430792,0.173594,-0.380067,-0.374219,0.169612,-0.0501385
11,0.199232,0.0395046,1,-0.373905,-0.358313,0.188447,-0.410762,-0.415951,0.187353,-0.373905,-0.358313,0.169602,-0.0493227
12,0.217344,0.0399219,1,-0.366469,-0.34436,0.184527,-0.406737,-0.3992,0.196867,-0.366469,-0.34436,0.166075,-0.0473365
13,0.235456,0.0391127,1,-0.35863,-0.332921,0.179597,-0.400305,-0.381541,0.201702,-0.35863,-0.332921,0.161637,-0.0450861
14,0.253568,0.0379517,1,-0.350004,-0.324302,0.17019,-0.391833,-0.363989,0.201754,-0.350004,-0.324302,0.153171,-0.041697
15,0.27168,0.0365155,1,-0.341198,-0.316421,0.159981,-0.381799,-0.347471,0.197231,-0.341198,-0.316421,0.143983,-0.0382096
16,0.289792,0.0353997,1,-0.331872,-0.309379,0.147338,-0.370749,-0.332752,0.18859,-0.331872,-0.309379,0.132604,-0.0342281
17,0.307904,0.0330363,1,-0.323076,-0.303969,0.135276,-0.359247,-0.320392,0.17646,-0.323076,-0.303969,0.121748,-0.0305931
18,0.326016,0.0301159,1,-0.315022,-0.301415,0.122111,-0.34784,-0.310746,0.161568,-0.315022,-0.301415,0.1099,-0.0269274
19,0.344128,0.0258215,1,-0.308284,-0.300532,0.110571,-0.33702,-0.303978,0.144668,-0.308284,-0.300532,0.0995138,-0.0238611
